"Time","horTh","age","menostat","tsize","tgrade","pnodes","progrec","estrec"
134.5,-0.000268149953353985,-6.04885589240149e-05,-0.000159289674941149,0.00273322905878579,0.000330066919609678,0.00158733252924733,0.000647368140576713,0.000960374341400107
173,-0.000217559273458055,0.000226845016116997,-0.000133111960046807,0.00361041511199397,0.000188814287128277,0.00240519173831761,0.000946435105494877,0.00171142866259606
181,0.000113642209580901,-0.000208984560906884,4.35311138650676e-05,0.00360427247034983,0.000594999387392059,0.00452911154007167,0.00298877223392438,0.00260878022697374
227,-0.000331127049972507,-0.00667999880461707,0.000102263473503482,0.00430087747443732,-4.77660065598293e-05,0.0072267122038708,0.0115526816750116,0.00698475666430877
272,-0.000775175728867281,-0.00465181192054731,0.000645831170427204,0.00490522606743901,0.000383531451837612,0.0110397885154505,0.0109606596125454,0.00964568498275917
307,-0.00136810149951158,-0.00142296737975446,0.000927457569924401,0.00650067362146692,0.00119184011456041,0.0167654957311314,0.0115730623661114,0.00909271784813329
336,-0.00199123449534468,0.002467929056595,-7.2931792790868e-06,0.00386904821899492,0.00157041286263484,0.01729651578325,0.0151909626022464,0.0101746835289924
348,-0.00216483526851269,0.00430798463957148,0.000267379891349759,0.0040768006885733,0.00163294340439068,0.0172051958934747,0.0163295780909417,0.0111919210430538
369,-0.00274299438511279,0.00463204287114516,-0.000277950666792556,0.00586116556130171,0.000497548581858229,0.020570961521419,0.023212964205241,0.0131207337329539
371,-0.00295477628762638,0.00501794184354386,-0.000201036144233307,0.00681711949729131,0.000991310596398182,0.0204216862567764,0.0243358011687721,0.0158401030733692
417,-0.00266457007544409,0.0041227358283028,-0.000554872368271394,0.0139151384700758,0.00155257809955407,0.0261970288574285,0.0291115219429821,0.0163031105454279
426,-0.00268186913886177,0.00453261066414033,-0.000530364665650351,0.0136585066695274,0.00165971148331496,0.0267231867259097,0.0292891158483342,0.0161044968636419
449,-0.00299966908060603,0.0055343772452394,-0.000479673135013216,0.0137566917077438,0.00140871694448225,0.0283953356623961,0.0312905188461321,0.016835411586988
456,-0.00309375425427561,0.00566558573774417,-0.000410618497418899,0.0138484887301271,0.00158515742313056,0.0290519570642617,0.0318449979813036,0.0164075325661736
495,-0.00472856505101911,0.0106394761894,0.00399404076138642,0.011168096483606,0.00133636914943394,0.0369334930987638,0.0303442006346616,0.0177298501750765
537,-0.00623813633990723,0.00451552842176911,0.00313139289034362,0.00883769070849836,-0.000323357241167735,0.032137302068445,0.050028128893768,0.0214132608600613
544,-0.00580917859635417,0.00600484189612838,0.00351217402415425,0.00835341401097655,-0.000470369545092991,0.0328851354384707,0.0518950687351495,0.0229888664289605
554,-0.00849291491358032,0.0067486232503075,0.00373603105969512,0.00738130044634619,-8.36882379811937e-05,0.0336418185646309,0.0559672504397847,0.0243897712217385
573,-0.00706570469507303,0.00341420344395274,0.00346272232440917,0.00317132533801953,-0.000737472605914385,0.0319574353119836,0.0610879505402047,0.0296036900612367
646,-0.0123348301244873,-0.00782023456320387,0.00316191366150382,0.00122641523318569,-0.00039734717933574,0.0451341783081922,0.0629387955822618,0.0319876628519349
648,-0.0123348301244873,-0.00782023456320387,0.00316191366150382,0.00122641523318569,-0.00039734717933574,0.0451341783081922,0.0629387955822618,0.0319876628519349
670,-0.0124521541826969,-0.00749003240376972,0.00321681003448066,0.00120369632972875,-0.000640656101626859,0.0457326160268921,0.0632423236765497,0.0323330551986159
675,-0.0124521541826969,-0.00749003240376972,0.00321681003448066,0.00120369632972875,-0.000640656101626859,0.0457326160268921,0.0632423236765497,0.0323330551986159
722,-0.0147364980575516,-0.00468669561333848,0.00263728919757717,-0.00142334366633205,-0.00129628692571014,0.0479280579493632,0.0618043737107784,0.0340728085818687
730,-0.0157038726969384,-0.0020707886490153,0.00156696548809596,-0.00266502993133881,-0.00184297519546228,0.0446854099045014,0.063506636648842,0.0321058170805781
748,-0.016178019676065,-0.00165264678189721,0.00153871918909603,-0.00125151712145757,-0.00228134434463696,0.0477499116271994,0.0656332072767824,0.0338257288234807
784,-0.0232642017662855,-0.0226468793306756,0.00382521383184951,0.00437540130153581,-0.00339511358378452,0.050154150122959,0.0537810194753795,0.0208939383791394
836,-0.0252985801820912,-0.0200604576806762,0.00555913346460646,0.00318779450023635,-0.00333018679559097,0.0553274279784386,0.0542814840131294,0.0151821898020295
857,-0.028915422456114,-0.0168313636071446,0.00500447857419218,-0.00463357645596251,-0.00441313439574454,0.0539646489576606,0.0506865880653,0.0110822282616947
956,-0.0262700020994628,-0.0372803458532664,0.00212491853517438,-0.00251248668629552,-0.00534293046231642,0.0490519254524682,0.0390110404520693,-0.00665436909727758
964,-0.0264622783351831,-0.0377508851298446,0.00224577084408841,-0.00334658833733208,-0.00520535325645485,0.0519181065982931,0.0386188439916696,-0.00533786634209876
1140,-0.021180349468148,-0.0415681372511719,0.00145288012745065,-0.00540002289777662,-0.00394728822910504,0.0581892963383337,0.0371484198021864,-0.00681147221287861
1162,-0.0211091908809866,-0.0406764537069154,0.000580770544817583,-0.00396820423368493,-0.00451053761459159,0.0581761397158674,0.041994426582679,-0.00970716156486669
1207,-0.0217865678262989,-0.037904035058536,0.000449655287202483,-0.00326876793652623,-0.00405793972633142,0.0618625890286309,0.0381620001042629,-0.00500597128139008
1246,-0.0236983428209467,-0.0347664792898682,0.00175189469352361,-0.00602974489115533,-0.0040287329999813,0.0615762044299814,0.040764940446073,-0.0040362128706933
1253,-0.0236983428209467,-0.0347664792898682,0.00175189469352361,-0.00602974489115533,-0.0040287329999813,0.0615762044299814,0.040764940446073,-0.0040362128706933
1280,-0.0229345821917062,-0.0344184119569781,0.00201055116283681,-0.0056197246543688,-0.00432211211600246,0.0635391318723036,0.0429739159286863,-0.0051914298447563
1329,-0.023179540830526,-0.0331079513765071,0.00225141026731735,-0.00494022455809311,-0.00462136450742577,0.0632109449443,0.0406796264213195,-0.00205800292264
1352,-0.0223861080319617,-0.0300241348283049,0.00238154530662278,-0.00457931502121924,-0.00452395946732374,0.0646726306218095,0.0411844921267626,-0.00284222663408808
1387,-0.0226166026722558,-0.0288677690989327,0.00205741292623867,-0.00381397446806757,-0.00514396845893703,0.0662227043076484,0.041506543730593,0.000782640610204856
1449,-0.0235619863540729,-0.0283307312339421,0.00437051475949928,-0.00759360221770379,-0.00447017127100047,0.067056854181338,0.040709258133063,0.00500863733182357
1481,-0.0212899669943522,-0.0216377956937073,0.00602001650094874,-0.00833216116065648,-0.00482394617198512,0.0653074807548975,0.0411392121451517,0.00219610472634012
1528,-0.0157084323127744,-0.0278969262117544,0.00500651673732197,-0.00409062049106887,-0.00594031147899368,0.0683743602601594,0.0297537172225569,0.00296708675905951
1589,-0.0157616276585597,-0.0275490521908244,0.00516735136389247,-0.00411012411632017,-0.00561913279688707,0.0685617360556896,0.0304672842576293,0.00346839481418749
1814,-0.024647041829517,-0.0454073997134149,0.000871249959748706,-0.0174391445317532,-0.010188177197515,0.0670458399949269,0.00329695226495873,-0.0130687389782066
2093,-0.0172795032538166,-0.0441374257178165,0.00127277237082219,-0.02606678244339,-0.005867345355943,0.0549181392436699,-0.0036847061666498,-0.0274047339404335
2282,-0.0172795032538166,-0.0441374257178165,0.00127277237082219,-0.02606678244339,-0.005867345355943,0.0549181392436699,-0.0036847061666498,-0.0274047339404335
